fecha,clave,precio_mas_bajo,nivel,tipico_min,tipico_max
2026-09-14,RT-SCL-OPO-20270712-20270731,2868237,low,3600000,5800000
2026-09-14,RT-SCL-LIS-20270712-20270731,2944373,low,2950000,4700000
2026-09-14,RT-CCP-OPO-20270712-20270731,4549092,typical,3400000,5400000
2026-09-14,RT-SCL-OPO-20270710-20270729,2847567,low,3600000,5800000
2026-09-15,RT-SCL-OPO-20270712-20270731,2895342,low,3600000,5800000
2026-09-15,RT-SCL-LIS-20270712-20270731,3101566,typical,2950000,4700000
2026-09-15,RT-CCP-OPO-20270712-20270731,5250939,typical,3400000,5400000
2026-09-15,RT-SCL-LIS-20270710-20270729,2845070,low,2950000,4700000
2026-09-15,RT-SCL-OPO-20270710-20270730,3092581,low,3600000,5800000
2026-09-15,RT-SCL-LIS-20270710-20270730,3225951,typical,2950000,4700000
2026-09-15,RT-SCL-OPO-20270712-20270731,2923723,low,3600000,5800000
2026-09-15,RT-SCL-LIS-20270712-20270731,3101566,typical,2950000,4700000
2026-09-15,RT-CCP-OPO-20270712-20270731,4623408,typical,3400000,5400000
2026-09-15,RT-SCL-LIS-20270712-20270731-LA,3475383,typical,3300000,5100000
2026-09-15,RT-SCL-OPO-20270712-20270801,2719092,low,3600000,5800000
2026-09-16,RT-SCL-OPO-20270712-20270731,2900553,low,3600000,5800000
2026-09-16,RT-SCL-LIS-20270712-20270731,3107499,typical,2950000,4700000
2026-09-16,RT-CCP-OPO-20270712-20270731,4632549,typical,3400000,5400000
2026-09-16,RT-SCL-OPO-20270710-20270731,3001731,low,3600000,5800000
2026-09-16,RT-SCL-LIS-20270710-20270731,3185934,typical,2950000,4700000
2026-09-16,RT-SCL-OPO-20270710-20270801,2880222,low,3600000,5800000
2026-09-17,RT-SCL-OPO-20270712-20270731,3075773,low,3600000,5800000
2026-09-17,RT-SCL-LIS-20270712-20270731,3123722,typical,2950000,4700000
2026-09-17,RT-CCP-OPO-20270712-20270731,4656597,typical,3400000,5400000
2026-09-17,RT-SCL-LIS-20270710-20270801,2865322,low,2950000,4700000
2026-09-17,RT-SCL-OPO-20270711-20270729,2738523,low,3600000,5800000
2026-09-17,RT-SCL-LIS-20270711-20270729,2708572,low,2950000,4700000
