fecha,clave,tipo,origen,destino,vuelta_desde,ida,vuelta,grupo,orden,corredor,via,aerolineas,vuelos,salida,llegada,duracion_min,n_escalas,precio,extensiones
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 118 IB 543,2027-07-12 11:40,2027-07-13 07:40,900,1,2868237,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,mejor,1,brasil,GRU-MAD,LATAM / Air Europa,LA 8155 LA 8066 UX 1141,2027-07-12 15:50,2027-07-13 19:20,1350,2,3139794,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,mejor,2,madrid,MAD,LATAM / Iberia,LA 706 IB 1151,2027-07-12 18:00,2027-07-13 16:00,1020,1,3176457,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,mejor,3,madrid,MAD,LATAM / Air Europa,LA 706 UX 1141,2027-07-12 18:00,2027-07-13 19:20,1220,1,3350757,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,0,madrid,MAD,LATAM / Air Europa,LA 706 UX 1147,2027-07-12 18:00,2027-07-14 06:45,1905,1,3132381,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,1,madrid,MAD,LATAM / Iberia,LA 706 IB 543,2027-07-12 18:00,2027-07-14 07:40,1960,1,3134856,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,2,brasil,GRU-MAD,LATAM / Iberia,LA 8155 LA 8066 IB 1151,2027-07-12 15:50,2027-07-13 16:00,1150,2,3769818,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,3,brasil,GRU-IST,Turkish Airlines,TK 216 TK 216 TK 1451,2027-07-12 10:15,2027-07-13 15:40,1465,2,4153340,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,4,lima,LIM-YUL,LATAM / Air Canada,LA 2444 AC 89 AC 928,2027-07-12 21:55,2027-07-14 10:00,1865,2,4417003,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,5,otra,BOG-YUL,LATAM / Air Canada,LA 572 AC 99 AC 928,2027-07-12 23:05,2027-07-14 10:00,1795,2,4417937,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,6,otra,EZE-AMS,KLM,KL 702 KL 702 KL 1577,2027-07-12 10:15,2027-07-13 22:15,1860,2,5429828,
2026-09-14,RT-SCL-OPO-20270712-20270731,RT,SCL,OPO,OPO,2027-07-12,2027-07-31,otro,7,otra,EZE-AMS,KLM,KL 702 KL 702 KL 1573,2027-07-12 10:15,2027-07-13 15:30,1455,2,5664262,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 118 IB 529,2027-07-12 11:40,2027-07-13 07:45,905,1,2944373,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,mejor,1,brasil,GRU,LATAM,LA 8155 LA 8148,2027-07-12 15:50,2027-07-13 12:20,930,1,3440286,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,mejor,2,brasil,GRU,LATAM,LA 8153 LA 8146,2027-07-12 04:45,2027-07-13 07:10,1285,1,3526557,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,mejor,3,brasil,GRU,LATAM,LA 762 LA 8146,2027-07-12 07:35,2027-07-13 07:10,1115,1,3608406,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,mejor,4,brasil,GRU,LATAM,LA 750 LA 8146,2027-07-12 11:30,2027-07-13 07:10,880,1,3821358,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,0,brasil,GRU,LATAM,LA 762 LA 8148,2027-07-12 07:35,2027-07-13 12:20,1425,1,4138131,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,1,brasil,GRU-IST,Turkish Airlines,TK 216 TK 216 TK 1759,2027-07-12 10:15,2027-07-13 15:35,1460,2,4316567,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,2,brasil,GRU,LATAM,LA 714 LA 8148,2027-07-12 15:55,2027-07-13 12:20,925,1,5373666,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,3,otra,BOG-YYZ,Avianca / Air Canada,AV 240 AC 95 AC 810,2027-07-12 00:30,2027-07-13 11:00,1770,2,5630354,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,4,paris,CDG,Air France,AF 407 AF 1024,2027-07-12 10:10,2027-07-13 11:15,1205,1,6493671,
2026-09-14,RT-SCL-LIS-20270712-20270731,RT,SCL,LIS,LIS,2027-07-12,2027-07-31,otro,5,otra,BOG-MAD,Avianca / Tap Air Portugal,AV 116 AV 10 TP 1017,2027-07-12 15:20,2027-07-13 18:25,1325,2,7662228,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,0,madrid,SCL-MAD,LATAM / Iberia,LA 14 IB 118 IB 1149,2027-07-12 20:51,2027-07-14 11:45,2034,2,4549092,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,1,madrid,SCL-MAD,LATAM / Air Europa,LA 6 LA 706 UX 1141,2027-07-12 14:44,2027-07-13 19:20,1416,2,4855284,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,2,madrid,SCL-MAD,LATAM / Air Europa,LA 16 LA 706 UX 1141,2027-07-12 15:16,2027-07-13 19:20,1384,2,4895016,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,3,madrid,SCL-MAD,LATAM / Iberia,LA 16 LA 706 IB 1151,2027-07-12 15:16,2027-07-13 16:00,1184,2,5273532,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,mejor,4,madrid,SCL-MAD,LATAM / Iberia,LA 4 IB 118 IB 543,2027-07-12 07:41,2027-07-13 07:40,1139,2,5276537,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,0,madrid,SCL-MAD,LATAM / Air Europa,LA 4 LA 706 UX 1141,2027-07-12 07:41,2027-07-13 19:20,1839,2,4824111,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,1,madrid,SCL-MAD,LATAM / Air Europa,LA 16 LA 706 UX 1147,2027-07-12 15:16,2027-07-14 06:45,2069,2,4878834,
2026-09-14,RT-CCP-OPO-20270712-20270731,RT,CCP,OPO,OPO,2027-07-12,2027-07-31,otro,2,madrid,SCL-MAD,LATAM / Iberia,LA 14 IB 118 IB 543,2027-07-12 20:51,2027-07-14 07:40,1789,2,5247303,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 118 IB 543,2027-07-12 11:40,2027-07-13 07:40,900,1,2864171,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,mejor,1,madrid,MAD,LATAM / Iberia,LA 706 IB 1151,2027-07-12 18:00,2027-07-13 16:00,1020,1,3172391,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,mejor,2,otra,MVD-MAD,LATAM / Iberia,LA 410 IB 170 IB 549,2027-07-12 15:35,2027-07-13 20:00,1405,2,3255618,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,0,madrid,MAD,LATAM / Iberia,LA 706 IB 543,2027-07-12 18:00,2027-07-14 07:40,1960,1,3130790,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,1,brasil,GRU-IST,Turkish Airlines,TK 216 TK 216 TK 1451,2027-07-12 10:15,2027-07-13 15:40,1465,2,4184873,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,2,madrid,MAD,LATAM / Air Europa,LA 706 UX 1141,2027-07-12 18:00,2027-07-13 19:20,1220,1,4694037,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,3,lima,LIM-YUL,LATAM / Air Canada,LA 2444 AC 89 AC 928,2027-07-12 21:55,2027-07-14 10:00,1865,2,4833344,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,4,otra,BOG-YUL,LATAM / Air Canada,LA 572 AC 99 AC 928,2027-07-12 23:05,2027-07-14 10:00,1795,2,4834278,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,5,otra,EZE-AMS,KLM,KL 702 KL 702 KL 1577,2027-07-12 10:15,2027-07-13 22:15,1860,2,5451914,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,6,otra,EZE-AMS,KLM,KL 702 KL 702 KL 1573,2027-07-12 10:15,2027-07-13 15:30,1455,2,5686348,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,7,paris,CDG,Air France,AF 407 AF 1528,2027-07-12 10:10,2027-07-13 15:25,1455,1,5972172,
2026-09-14,OJ-SCL-OPO-LIS-20270712-20270731,OJ,SCL,OPO,LIS,2027-07-12,2027-07-31,otro,8,otra,MIA-PHL,American,AA 912 AA 1284 AA 1774,2027-07-12 20:35,2027-07-14 08:15,1840,2,6920238,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,mejor,0,madrid,MAD,Iberia,IB 118 IB 539,2027-07-12 11:40,2027-07-13 23:25,1845,1,2865635,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,mejor,1,madrid,MAD,Iberia,IB 118 IB 529,2027-07-12 11:40,2027-07-13 07:45,905,1,2919607,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,mejor,2,madrid,MAD,LATAM / Iberia,LA 706 IB 539,2027-07-12 18:00,2027-07-13 23:25,1465,1,3150305,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,mejor,3,madrid,MAD,LATAM / Iberia,LA 706 IB 533,2027-07-12 18:00,2027-07-13 16:05,1025,1,3368861,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,mejor,4,lima,LIM-MAD,LATAM / Iberia,LA 2378 IB 124 IB 529,2027-07-12 06:40,2027-07-13 07:45,1205,2,3830627,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,0,brasil,GRU-IST,Turkish Airlines,TK 216 TK 216 TK 1759,2027-07-12 10:15,2027-07-13 15:35,1460,2,4153340,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,1,brasil,GRU,LATAM,LA 750 LA 8146,2027-07-12 11:30,2027-07-13 07:10,880,1,4569822,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,2,brasil,GRU,LATAM,LA 8155 LA 8148,2027-07-12 15:50,2027-07-13 12:20,930,1,4569822,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,3,brasil,GRU,LATAM,LA 734 LA 8146,2027-07-12 20:35,2027-07-14 07:10,1775,1,4662711,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,4,madrid,MAD,LATAM / Air Europa,LA 706 UX 1157,2027-07-12 18:00,2027-07-13 19:15,1215,1,4671951,
2026-09-14,OJ-SCL-LIS-OPO-20270712-20270731,OJ,SCL,LIS,OPO,2027-07-12,2027-07-31,otro,5,otra,BOG-YYZ,Avianca / Air Canada,AV 240 AC 95 AC 810,2027-07-12 00:30,2027-07-13 11:00,1770,2,5204910,
